"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/AssetPacks/ShooterGame/Effects/Materials/Ramp/M_radial_ramp_soft.M_radial_ramp_soft","0","27","4","1","118.578712","0","132"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/ModularSci_Int/Materials/M_SolidC.M_SolidC","0","23","3","1","121.197411","0","238"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/ModularSci_Int/Materials/M_Glass.M_Glass","0","37","1","1","134.582901","0","637"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/ModularSci_Comm/Materials/M_Base_SolidLight.M_Base_SolidLight","0","9","1","1","6.235995","0","53"
"/Game/AssetPacks/ParagonWraith/FX/Materials/MaterialFunctions/M_Tri_Test.M_Tri_Test","0","70","1","1","55.146473","0","2586"
"/Game/AssetPacks/ParagonWraith/Characters/Maps/BackGroundAssets/M_AssetPlatform.M_AssetPlatform","0","23","1","1","28.635056","0","293"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/ModularScifiProps/Materials/M_Reg_Glass.M_Reg_Glass","0","37","1","1","91.506332","0","718"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/ModularScifiProps/Materials/M_FrostedGlass_Base.M_FrostedGlass_Base","0","37","6","1","219.083633","0","449"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/ModularScifiHallways/Materials/M_Glass.M_Glass","0","37","1","1","0.000000","0","637"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","37","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/UE4_Assets/Effects/Materials/Snow/M_SnowFlake_VelocityLerp_AA.M_SnowFlake_VelocityLerp_AA","0","72","1","1","63.509426","0","2593"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/UE4_Assets/Effects/Materials/Snow/M_SnowFlake_VelocityLerp.M_SnowFlake_VelocityLerp","0","72","1","1","61.255054","0","2659"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/UE4_Assets/Effects/Materials/Snow/M_Snow_Blowing_unLit.M_Snow_Blowing_unLit","0","27","1","1","17.952469","0","404"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/UE4_Assets/Effects/Materials/Snow/M_Snow_Blowing_Lit.M_Snow_Blowing_Lit","0","72","1","1","66.881943","0","2611"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/NatureMaterials_Ice/Materials/M_IceBase.M_IceBase","0","37","1","1","250.742264","0","739"
"/Game/AssetPacks/ModularSciFiSeason1/StarterBundle/ModularSci_Int/Materials/M_Light_Base.M_Light_Base","0","23","1","1","25.349665","0","298"
"/Game/AssetPacks/ShooterGame/Weapons/Materials/MagGun_SightLens_Mat.MagGun_SightLens_Mat","0","18","1","1","15.422953","0","188"
"/Game/AssetPacks/ShooterGame/Effects/Materials/Weapon/M_muzzle_flash_subUV.M_muzzle_flash_subUV","0","27","1","1","19.216600","0","384"
"/Game/AssetPacks/ShooterGame/Effects/Materials/Smoke/M_MuzzleSmokeDetail_GPU.M_MuzzleSmokeDetail_GPU","0","36","1","1","24.072529","0","683"
"/Game/AssetPacks/ShooterGame/Effects/Materials/spark/M_spark_subUV.M_spark_subUV","0","27","1","1","18.341284","0","404"
"/Game/AssetPacks/ShooterGame/Effects/Materials/Smoke/M_SmokeBall.M_SmokeBall","0","36","1","1","24.971201","0","659"
"/Game/AssetPacks/ShooterGame/Effects/Materials/Smoke/M_ImpactSmoke.M_ImpactSmoke","0","96","1","1","80.175377","0","4211"
"/Game/AssetPacks/ShooterGame/Effects/Materials/Weapon/M_WP_Linkgun_Connection.M_WP_Linkgun_Connection","0","18","1","1","12.804193","0","160"
"/Game/AssetPacks/ShooterGame/Effects/Materials/LensFlare/M_Lensflare_01.M_Lensflare_01","0","27","1","1","15.608682","0","404"
"/Game/AssetPacks/ShooterGame/Effects/Materials/LensFlare/M_LensFlare_02.M_LensFlare_02","0","27","1","1","17.177719","0","390"
"/Game/AssetPacks/ShooterGame/Effects/Materials/Weapon/M_WP_ShockRifle_Panning_Beam.M_WP_ShockRifle_Panning_Beam","0","18","8","1","23.271038","0","137"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
